선거구명,선거구역
동 작 구 을 선 거 구,사당제5동
관 악 구 갑 선 거 구,보라매동
관 악 구 갑 선 거 구,은천동
관 악 구 갑 선 거 구,성현동
관 악 구 갑 선 거 구,중앙동
관 악 구 갑 선 거 구,청림동
관 악 구 갑 선 거 구,행운동
관 악 구 갑 선 거 구,청룡동
관 악 구 갑 선 거 구,낙성대동
관 악 구 갑 선 거 구,인헌동
관 악 구 갑 선 거 구,남현동
관 악 구 갑 선 거 구,신림동
관 악 구 을 선 거 구,신사동
관 악 구 을 선 거 구,조원동
관 악 구 을 선 거 구,미성동
관 악 구 을 선 거 구,난곡동
관 악 구 을 선 거 구,난향동
관 악 구 을 선 거 구,서원동
관 악 구 을 선 거 구,신원동
관 악 구 을 선 거 구,서림동
관 악 구 을 선 거 구,삼성동
관 악 구 을 선 거 구,대학동
서 초 구 갑 선 거 구,잠원동
서 초 구 갑 선 거 구,반포본동
서 초 구 갑 선 거 구,반포1동
서 초 구 갑 선 거 구,반포2동
서 초 구 갑 선 거 구,반포3동
서 초 구 갑 선 거 구,반포4동
서 초 구 갑 선 거 구,방배본동
서 초 구 갑 선 거 구,방배1동
서 초 구 갑 선 거 구,방배4동
서 초 구 을 선 거 구,서초1동
서 초 구 을 선 거 구,서초2동
서 초 구 을 선 거 구,서초3동
서 초 구 을 선 거 구,서초4동
서 초 구 을 선 거 구,방배2동
서 초 구 을 선 거 구,방배3동
서 초 구 을 선 거 구,양재1동
서 초 구 을 선 거 구,양재2동
서 초 구 을 선 거 구,내곡동
강 남 구 갑 선 거 구,신사동
강 남 구 갑 선 거 구,논현1동
강 남 구 갑 선 거 구,논현2동
강 남 구 갑 선 거 구,압구정동
강 남 구 갑 선 거 구,청담동
강 남 구 갑 선 거 구,역삼1동
강 남 구 갑 선 거 구,역삼2동
강 남 구 을 선 거 구,개포1동
강 남 구 을 선 거 구,개포2동
강 남 구 을 선 거 구,개포3동
강 남 구 을 선 거 구,개포4동
강 남 구 을 선 거 구,세곡동
강 남 구 을 선 거 구,본동
강 남 구 을 선 거 구,1동
강 남 구 을 선 거 구,수서동
강 남 구 병 선 거 구,삼성1동
강 남 구 병 선 거 구,삼성2동
강 남 구 병 선 거 구,대치1동
강 남 구 병 선 거 구,대치2동
강 남 구 병 선 거 구,대치4동
강 남 구 병 선 거 구,도곡1동
강 남 구 병 선 거 구,도곡2동
송 파 구 갑 선 거 구,풍납1동
송 파 구 갑 선 거 구,풍납2동
송 파 구 갑 선 거 구,방이1동
송 파 구 갑 선 거 구,방이2동
송 파 구 갑 선 거 구,오륜동
송 파 구 갑 선 거 구,송파1동
송 파 구 갑 선 거 구,송파2동
송 파 구 갑 선 거 구,잠실4동
송 파 구 갑 선 거 구,잠실6동
송 파 구 을 선 거 구,석촌동
송 파 구 을 선 거 구,삼전동
송 파 구 을 선 거 구,가락1동
송 파 구 을 선 거 구,문정2동
송 파 구 을 선 거 구,잠실본동
송 파 구 을 선 거 구,잠실2동
송 파 구 을 선 거 구,잠실3동
송 파 구 을 선 거 구,잠실7동
송 파 구 병 선 거 구,거여1동
송 파 구 병 선 거 구,거여2동
송 파 구 병 선 거 구,마천1동
송 파 구 병 선 거 구,마천2동
송 파 구 병 선 거 구,오금동
송 파 구 병 선 거 구,가락본동
송 파 구 병 선 거 구,가락2동
송 파 구 병 선 거 구,문정1동
송 파 구 병 선 거 구,장지동
송 파 구 병 선 거 구,위례동
강 동 구 갑 선 거 구,강일동
강 동 구 갑 선 거 구,상일제1동
강 동 구 갑 선 거 구,상일제2동
강 동 구 갑 선 거 구,명일제1동
강 동 구 갑 선 거 구,명일제2동
강 동 구 갑 선 거 구,고덕제1동
강 동 구 갑 선 거 구,고덕제2동
강 동 구 갑 선 거 구,암사제1동
강 동 구 갑 선 거 구,암사제2동
강 동 구 갑 선 거 구,암사제3동
강 동 구 을 선 거 구,천호제1동
강 동 구 을 선 거 구,천호제2동
강 동 구 을 선 거 구,천호제3동
강 동 구 을 선 거 구,성내제1동
강 동 구 을 선 거 구,성내제2동
강 동 구 을 선 거 구,성내제3동
강 동 구 을 선 거 구,길동
강 동 구 을 선 거 구,둔촌제1동
강 동 구 을 선 거 구,둔촌제2동
부산광역시(지역구 : 18),
중구영도구선거구,중구
중구영도구선거구,영도구
서 구 동 구 선 거 구,서구
서 구 동 구 선 거 구,동구
부산진구갑선거구,부전제1동
부산진구갑선거구,연지동
부산진구갑선거구,초읍동
부산진구갑선거구,양정제1동
부산진구갑선거구,양정제2동
부산진구갑선거구,부암제1동
부산진구갑선거구,부암제3동
부산진구갑선거구,당감제1동
부산진구갑선거구,당감제2동
부산진구갑선거구,당감제4동
부산진구을선거구,부전제2동
부산진구을선거구,전포제1동
부산진구을선거구,전포제2동
부산진구을선거구,가야제1동
부산진구을선거구,가야제2동
부산진구을선거구,개금제1동
부산진구을선거구,개금제2동
부산진구을선거구,개금제3동
부산진구을선거구,범천제1동
부산진구을선거구,범천제2동
동 래 구 선 거 구,동래구
남 구 선 거 구,남구
북 구 갑 선 거 구,구포제1동
북 구 갑 선 거 구,구포제2동
북 구 갑 선 거 구,구포제3동
북 구 갑 선 거 구,덕천제1동
북 구 갑 선 거 구,덕천제2동
북 구 갑 선 거 구,덕천제3동
북 구 갑 선 거 구,만덕제2동
북 구 갑 선 거 구,만덕제3동
북 구 을 선 거 구,금곡동
북 구 을 선 거 구,화명제1동
북 구 을 선 거 구,화명제2동
북 구 을 선 거 구,화명제3동
북 구 을 선 거 구,만덕제1동
해운대구갑선거구,우제1동
해운대구갑선거구,우제2동
해운대구갑선거구,우제3동
해운대구갑선거구,중제1동
해운대구갑선거구,중제2동
해운대구갑선거구,좌제1동
해운대구갑선거구,좌제2동
해운대구갑선거구,좌제3동
해운대구갑선거구,좌제4동
해운대구갑선거구,송정동
해운대구을선거구,반여제1동
해운대구을선거구,반여제2동
해운대구을선거구,반여제3동
해운대구을선거구,반여제4동
해운대구을선거구,반송제1동
해운대구을선거구,반송제2동
해운대구을선거구,재송제1동
해운대구을선거구,재송제2동
사 하 구 갑 선 거 구,괴정제1동
사 하 구 갑 선 거 구,괴정제2동
사 하 구 갑 선 거 구,괴정제3동
사 하 구 갑 선 거 구,괴정제4동
